PDCT_05_Clean,PHHTTINC_Clean,PHTYPE,PMINOR,PHGEDUC,PEMPL,Province_Name,PSTIR_GR_Clean,prob_housing_stress,Predicted_Housing_Stress,True_Housing_Stress
1.0,170000.0,3,2,7,1,British Columbia,1.0,3.707930335884462e-05,0,0.0
2.0,44000.0,5,2,4,1,Quebec,2.0,0.05039045054618823,0,0.0
1.0,175000.0,1,2,6,1,Ontario,1.0,2.18937152338957e-05,0,0.0
2.0,25000.0,5,2,3,2,Newfoundland and Labrador,1.0,0.39243424104023394,1,0.0
2.0,165000.0,1,2,6,1,Saskatchewan,1.0,4.96019147141696e-05,0,0.0
2.0,24000.0,5,2,2,2,Quebec,1.0,0.17878562255243813,0,1.0
2.0,23000.0,5,2,2,2,Saskatchewan,2.0,0.5307582881331662,1,1.0
2.0,115000.0,1,1,6,1,Alberta,1.0,0.0028981529381596873,0,0.0
2.0,210000.0,2,2,7,1,Alberta,1.0,3.6939338670634763e-06,0,0.0
2.0,35000.0,5,2,6,2,Quebec,2.0,0.09328128180940093,0,0.0
2.0,65000.0,5,2,5,2,Manitoba,2.0,0.04541845538169413,0,0.0
2.0,52500.0,5,2,3,1,New Brunswick,1.0,0.0702300581029199,0,0.0
2.0,26000.0,2,2,6,1,Alberta,1.0,0.6103906790480499,1,0.0
1.0,80000.0,5,2,5,2,Prince Edward Island,1.0,0.0038805359427206212,0,0.0
2.0,28000.0,5,2,4,2,Ontario,3.0,0.5344246174339239,1,1.0
2.0,55000.0,5,2,7,2,Ontario,1.0,0.14863242074373495,0,0.0
1.0,87500.0,5,2,2,1,British Columbia,2.0,0.012110307554836509,0,0.0
2.0,62500.0,5,2,3,1,Ontario,1.0,0.08993532941230048,0,0.0
2.0,45000.0,3,1,4,2,Alberta,1.0,0.2918700846465007,0,0.0
2.0,60000.0,3,1,2,1,Alberta,1.0,0.12227096504399007,0,0.0
2.0,250000.0,2,2,6,1,British Columbia,1.0,2.0758511394033283e-07,0,0.0
2.0,26000.0,5,2,2,2,Quebec,1.0,0.15902358073199846,0,0.0
2.0,23000.0,5,2,2,2,Newfoundland and Labrador,1.0,0.42493904603390914,1,0.0
1.0,,99,9,7,1,Newfoundland and Labrador,1.0,0.07340264465753417,0,0.0
2.0,27000.0,5,2,1,2,Ontario,1.0,0.5471876744136126,1,1.0
1.0,75000.0,1,1,4,1,British Columbia,2.0,0.027731589359042227,0,1.0
