Cum_Pop,Cum_Stress,Strategy
0.07832966315989928,0.1405677622208609,Income
0.07844633104923002,0.1405677622208609,Income
0.07855639801001796,0.14092955449614672,Income
0.07866706314608332,0.14129331298539077,Income
0.07880897023848452,0.14129331298539077,Income
0.08155971481709504,0.14129331298539077,Income
0.0817543446584391,0.14193306512022127,Income
0.08182208817796688,0.14193306512022127,Income
0.08188983169749464,0.14193306512022127,Income
0.08195757521702242,0.14215573940767653,Income
0.08202531873655018,0.14237841369513182,Income
0.08238428893678705,0.14355835583738577,Income
0.08245203245631481,0.14355835583738577,Income
0.08252065664159644,0.14378392489057798,Income
0.08258840016112422,0.14378392489057798,Income
0.08265614368065198,0.14400659917803324,Income
0.08422115921082887,0.14915083615402502,Income
0.0855576162353414,0.15354379680505717,Income
0.0856316090945456,0.15354379680505717,Income
